,Country,Abreviation,Year,Total Population,GDP,Food_Expenditure_2017
779,Algeria,DZA,2015,39728000.0,4160.22006671831,724.0
780,Algeria,DZA,2016,40551000.0,3916.8815708862603,639.0
1850,Argentina,ARG,2015,43075000.0,13698.2934384857,1737.0
1851,Argentina,ARG,2016,43508000.0,12654.354998995801,2306.0
2482,Australia,AUS,2015,23932000.0,56561.4123818054,2915.0
2483,Australia,AUS,2016,24263000.0,49896.6811009246,2927.0
2702,Austria,AUT,2015,8679000.0,44206.7842820834,2322.0
2703,Austria,AUT,2016,8747000.0,44731.010855336106,2273.0
2923,Azerbaijan,AZE,2015,9623000.0,5500.31038244408,1210.0
2924,Azerbaijan,AZE,2016,9736000.0,3880.7387308955604,896.0
3364,Bahrain,BHR,2015,1372000.0,22688.8782442968,1477.0
3365,Bahrain,BHR,2016,1426000.0,22560.5812707477,1347.0
4025,Belarus,BLR,2015,9439000.0,5949.106306997479,1050.0
4026,Belarus,BLR,2016,9446000.0,5022.62664330491,962.0
4245,Belgium,BEL,2015,11288000.0,40361.1541907535,2532.0
4246,Belgium,BEL,2016,11354000.0,41260.9775511468,2706.0
5195,Bolivia,BOL,2015,10870000.0,3077.02619917158,606.0
5196,Bolivia,BOL,2016,11032000.0,3117.3304591215997,656.0
5485,Bosnia and Herzegovina,BIH,2015,3429000.0,4584.24254781755,1063.0
5486,Bosnia and Herzegovina,BIH,2016,3386000.0,4808.6360428711205,1221.0
5926,Brazil,BRA,2015,204472000.0,8750.22299607324,815.0
5927,Brazil,BRA,2016,206163008.0,8639.36574344537,833.0
6437,Bulgaria,BGR,2015,7200000.0,6993.475543706961,813.0
6438,Bulgaria,BGR,2016,7152000.0,7469.447702981129,876.0
7317,Cameroon,CMR,2015,23298000.0,1353.9244896144698,426.0
7318,Cameroon,CMR,2016,23927000.0,1374.5158991066,449.0
7537,Canada,CAN,2015,36027000.0,43525.3701865304,2168.0
7538,Canada,CAN,2016,36383000.0,42348.9454605979,2168.0
8643,Chile,CHL,2015,17969000.0,13736.635687931299,1293.0
8644,Chile,CHL,2016,18209000.0,13960.894209996,1402.0
8863,China,CHN,2015,1406848000.0,8069.2130238951095,750.0
8864,China,CHN,2016,1414049024.0,8117.267465431791,706.0
9085,Colombia,COL,2015,47521000.0,6044.52555566556,650.0
9086,Colombia,COL,2016,48175000.0,5756.86160202051,646.0
9815,Costa Rica,CRI,2015,4848000.0,11393.0239509727,1504.0
9816,Costa Rica,CRI,2016,4899000.0,11732.710548475701,2098.0
10255,Croatia,HRV,2015,4233000.0,11757.890041793798,2421.0
10256,Croatia,HRV,2016,4209000.0,12298.570347383898,2164.0
10985,Czech Republic,CZE,2015,10601000.0,17715.6168523009,1340.0
10986,Czech Republic,CZE,2016,10619000.0,18483.7164797716,1510.0
11426,Denmark,DNK,2015,5689000.0,53012.996583500804,2719.0
11427,Denmark,DNK,2016,5711000.0,53578.7565680928,2821.0
12086,Dominican Republic,DOM,2015,10282000.0,6534.90855499375,1173.0
12087,Dominican Republic,DOM,2016,10398000.0,6793.538125439351,1389.0
12539,Ecuador,ECU,2015,16212000.0,6150.15595531519,869.0
12540,Ecuador,ECU,2016,16491000.0,6018.52686848782,843.0
12759,Egypt,EGY,2015,92443000.0,3547.71301183827,1075.0
12760,Egypt,EGY,2016,94447000.0,3479.28124621174,921.0
13640,Estonia,EST,2015,1315000.0,17155.8741759995,1917.0
13641,Estonia,EST,2016,1317000.0,17736.8026953521,1952.0
14794,Finland,FIN,2015,5481000.0,42424.2208075022,2848.0
14795,Finland,FIN,2016,5498000.0,43433.032224358,2757.0
15032,France,FRA,2015,64453000.0,36613.3752159613,2647.0
15033,France,FRA,2016,64668000.0,36870.219134456296,2727.0
15833,Georgia,GEO,2015,4024000.0,3764.6409115903707,841.0
15834,Georgia,GEO,2016,4015000.0,3865.78569412489,817.0
16053,Germany,DEU,2015,81787000.0,41323.921502168996,2179.0
16054,Germany,DEU,2016,82194000.0,42232.5742082948,2246.0
16563,Greece,GRC,2015,10660000.0,18070.776778858402,2244.0
16564,Greece,GRC,2016,10615000.0,17881.526697395602,2245.0
17213,Guatemala,GTM,2015,16252000.0,3923.5733436471296,1370.0
17214,Guatemala,GTM,2016,16583000.0,4140.73763497611,1450.0
18654,Hong Kong,HKG,2015,7186000.0,42431.8882817277,4263.0
18655,Hong Kong,HKG,2016,7244000.0,43737.0419709205,4423.0
18874,Hungary,HUN,2015,9778000.0,12483.8659406349,1152.0
18875,Hungary,HUN,2016,9753000.0,12820.0881963053,1196.0
19604,India,IND,2015,1310151936.0,1606.0382849889002,315.0
19605,India,IND,2016,1324516992.0,1717.47387802956,311.0
19824,Indonesia,IDN,2015,258383008.0,3334.5490748484804,629.0
19825,Indonesia,IDN,2016,261556000.0,3570.2846147653795,638.0
20044,Iran,IRN,2015,78492000.0,4862.29972856127,541.0
20045,Iran,IRN,2016,79564000.0,5219.10980489885,598.0
20484,Ireland,IRL,2015,4652000.0,61807.6703737555,1945.0
20485,Ireland,IRL,2016,4696000.0,64100.4299522762,1973.0
20774,Israel,ISR,2015,7978000.0,35690.9630779526,2882.0
20775,Israel,ISR,2016,8109000.0,37180.849811536296,3320.0
20994,Italy,ITA,2015,60578000.0,30180.3215146877,2646.0
20995,Italy,ITA,2016,60663000.0,30668.9814289997,2664.0
