,country,gender_gap,urban_elec_access,rural_elec_access,phone_cost,web_access,privacy_trust,electric_access,gender_gap_pt,internet_users,total_population,GDP,food_expenditure
0,Algeria,21.7,100.0,100.0,32.0,0.0,46.0,100.0,13.0,59.6,39728000.0,4160.22006671831,724.0
1,Argentina,-5.7,100.0,85.3,43.9,2.0,60.0,98.8,-4.0,74.3,43075000.0,13698.2934384857,1737.0
2,Australia,2.1,100.0,100.0,93.6,2.0,52.0,100.0,2.0,86.5,23932000.0,56561.4123818054,2915.0
3,Austria,2.2,100.0,100.0,68.8,2.0,58.0,100.0,2.0,87.7,8679000.0,44206.7842820834,2322.0
4,Azerbaijan,15.0,100.0,100.0,22.7,1.0,39.0,100.0,12.0,79.8,9623000.0,5500.31038244408,1210.0
5,Bahrain,0.2,100.0,100.0,23.1,3.0,50.0,100.0,0.2,98.6,1372000.0,22688.8782442968,1477.0
7,Belgium,2.1,100.0,100.0,70.9,3.0,56.0,100.0,2.0,88.7,11288000.0,40361.1541907535,2532.0
10,Brazil,-3.2,100.0,98.6,32.5,0.0,58.0,99.8,-2.0,67.5,204472000.0,8750.22299607324,815.0
11,Bulgaria,0.0,100.0,100.0,32.9,2.0,34.0,100.0,0.0,64.8,7200000.0,6993.475543706961,813.0
12,Cameroon,11.4,99.0,33.3,41.6,1.0,50.0,70.4,5.0,23.2,23298000.0,1353.9244896144698,426.0
13,Canada,2.1,100.0,100.0,69.3,2.0,56.0,100.0,2.0,91.0,36027000.0,43525.3701865304,2168.0
14,Chile,1.4,100.0,100.0,65.0,2.0,68.0,100.0,1.0,82.3,17969000.0,13736.635687931299,1293.0
15,China,-7.9,100.0,100.0,46.5,1.0,84.0,100.0,-5.0,54.3,1406848000.0,8069.2130238951095,750.0
16,Colombia,18.3,99.2,85.5,49.0,2.0,62.0,96.5,11.0,62.3,47521000.0,6044.52555566556,650.0
18,Croatia,9.0,100.0,100.0,46.6,1.0,28.0,100.0,7.0,72.7,4233000.0,11757.890041793798,2421.0
20,Denmark,2.0,100.0,100.0,67.2,2.0,42.0,100.0,2.0,97.6,5689000.0,53012.996583500804,2719.0
23,Egypt,22.7,99.9,99.9,34.0,0.0,56.0,99.9,10.0,46.9,92443000.0,3547.71301183827,1075.0
24,Estonia,8.0,100.0,100.0,55.3,2.0,38.0,100.0,7.0,89.4,1315000.0,17155.8741759995,1917.0
26,France,4.3,100.0,100.0,81.3,2.0,24.0,100.0,4.0,82.0,64453000.0,36613.3752159613,2647.0
28,Germany,7.8,100.0,100.0,57.7,3.0,66.0,100.0,7.0,89.7,81787000.0,41323.921502168996,2179.0
29,Greece,8.3,100.0,100.0,64.8,3.0,34.0,100.0,6.0,73.0,10660000.0,18070.776778858402,2244.0
30,Guatemala,22.2,91.9,93.8,46.2,2.0,60.0,92.8,10.0,65.0,16252000.0,3923.5733436471296,1370.0
31,Hong Kong,10.5,100.0,100.0,65.7,0.0,62.0,100.0,9.0,89.4,7186000.0,42431.8882817277,4263.0
32,Hungary,1.3,100.0,100.0,62.2,0.0,42.0,100.0,1.0,76.1,9778000.0,12483.8659406349,1152.0
33,India,57.1,99.6,91.9,49.4,3.0,74.0,94.6,20.0,34.4,1310151936.0,1606.0382849889002,315.0
34,Indonesia,8.1,100.0,96.2,41.8,0.0,84.0,98.3,3.0,39.8,258383008.0,3334.5490748484804,629.0
35,Iran,7.4,100.0,95.7,37.2,0.0,39.0,98.9,5.0,70.0,78492000.0,4862.29972856127,541.0
36,Ireland,-5.9,100.0,100.0,90.4,0.0,46.0,100.0,-5.0,84.5,4652000.0,61807.6703737555,1945.0
38,Italy,10.3,100.0,100.0,65.5,2.0,50.0,100.0,10.0,74.4,60578000.0,30180.3215146877,2646.0
39,Japan,13.2,100.0,100.0,71.2,4.0,26.0,100.0,10.0,84.6,127985000.0,34567.745675099504,2631.0
41,Kazakhstan,-2.7,100.0,100.0,55.6,1.0,28.0,100.0,-2.0,78.9,17572000.0,10510.7718884148,2329.0
42,Kenya,21.0,100.0,65.7,33.0,0.0,62.0,75.0,13.0,17.8,47878000.0,1355.04578833975,543.0
43,Kuwait,1.1,100.0,100.0,69.2,0.0,54.0,100.0,1.0,99.6,3836000.0,29109.068743354703,1538.0
44,Latvia,3.7,100.0,100.0,49.8,1.0,28.0,100.0,3.0,83.6,1998000.0,13639.694119796299,1663.0
45,Lithuania,3.8,100.0,100.0,53.7,3.0,38.0,100.0,3.0,79.7,2932000.0,14289.1205692355,2090.0
47,Malaysia,5.1,100.0,100.0,43.3,2.0,72.0,100.0,4.0,81.2,30271000.0,9648.553455159119,1122.0
48,Mexico,11.1,100.0,100.0,59.9,2.0,78.0,100.0,7.0,65.8,121858000.0,9290.76062857618,1421.0
50,Morocco,19.7,100.0,98.0,36.4,1.0,48.0,99.2,12.0,64.8,34664000.0,2864.09291462974,719.0
51,Netherlands,3.2,100.0,100.0,62.4,3.0,30.0,100.0,3.0,94.7,16938000.0,44746.334048523604,2255.0
52,New Zealand,2.1,100.0,100.0,73.6,3.0,70.0,100.0,2.0,90.8,4615000.0,38649.3784975761,3188.0
53,Nigeria,22.0,85.8,33.9,19.9,0.0,58.0,60.0,9.0,42.0,181136992.0,2655.15797711367,1132.0
55,Pakistan,70.6,90.9,68.9,29.5,0.0,54.0,77.0,24.0,15.5,199427008.0,1428.63762767431,458.0
56,Peru,29.0,99.2,86.7,51.8,1.0,56.0,96.4,18.0,52.5,30471000.0,6053.112414929239,1432.0
57,Philippines,-14.0,95.7,95.0,36.3,1.0,54.0,95.3,-7.0,60.1,102113000.0,2878.33837046989,894.0
58,Poland,2.6,100.0,100.0,56.7,3.0,16.0,100.0,2.0,77.5,38034000.0,12566.4834429716,1188.0
59,Portugal,5.5,100.0,100.0,66.9,2.0,46.0,100.0,5.0,74.7,10368000.0,19252.6349536042,2251.0
60,Qatar,-0.3,100.0,100.0,99.5,4.0,36.0,100.0,-0.3,99.7,2566000.0,66346.5226685873,1516.0
61,Romania,11.5,100.0,100.0,78.1,2.0,54.0,100.0,9.0,70.7,19925000.0,8978.38925434643,1486.0
62,Russia,5.2,100.0,100.0,58.7,1.0,36.0,100.0,4.0,80.9,144984992.0,9346.61636024231,1319.0
63,Saudi Arabia,0.0,100.0,99.2,56.6,1.0,60.0,99.9,0.0,93.3,31718000.0,20732.861721856498,1954.0
65,Singapore,2.3,100.0,100.0,64.3,2.0,52.0,100.0,2.0,88.2,5592000.0,54940.8581377449,1336.0
66,Slovakia,3.8,100.0,100.0,54.8,0.0,36.0,100.0,3.0,80.7,5436000.0,16132.8603100425,1545.0
68,South Africa,6.4,96.2,92.3,54.9,3.0,60.0,94.9,3.0,56.2,55386000.0,5746.68112702961,673.0
69,South Korea,5.6,100.0,100.0,62.9,1.0,34.0,100.0,5.0,95.9,50823000.0,27105.076226264,1640.0
70,Spain,8.2,100.0,100.0,63.9,3.0,52.0,100.0,8.0,86.1,46672000.0,25789.519548147597,2002.0
71,Sweden,2.0,100.0,100.0,70.1,3.0,54.0,100.0,2.0,92.1,9765000.0,50812.1908597713,2784.0
73,Thailand,-1.9,100.0,100.0,52.7,0.0,68.0,100.0,-1.0,56.8,68715000.0,5846.394608069129,862.0
75,Turkey,13.3,100.0,100.0,35.7,3.0,46.0,100.0,11.0,71.0,78529000.0,10984.8052020041,1440.0
79,United Kingdom,-1.1,100.0,100.0,79.7,2.0,62.0,100.0,-1.0,94.9,65860000.0,44305.5546320834,2217.0
80,United States,0.0,100.0,100.0,84.6,3.0,52.8,100.0,0.0,87.3,320878016.0,56443.81724225821,2392.0
82,Uzbekistan,26.1,100.0,100.0,8.2,0.0,50.0,100.0,12.0,52.3,30930000.0,2137.57685230278,380.0
83,Vietnam,13.6,100.0,99.4,38.6,0.0,68.0,99.6,9.0,70.3,92677000.0,2065.16909895862,460.0
